Vpp_wyj;Vpp_wej;Freq
1.04;1.02;1
1.04;1.02;1.3
1.04;1.02;1.7
1.04;1.02;2.1
1.02;1.02;2.8
1.04;1.02;3.6
1.02;1.02;4.6
1.04;1.02;6
1;1.02;7.7
1;1.02;10
0.960;1.02;13
0.940;1.02;17
0.900;1.02;21
0.820;1.02;28
0.760;1.02;36
0.660;1.02;46
0.560;1.02;60
0.480;1.02;77
0.380;1.02;100
